id,name,link,created_at
1,Art,https://www.goodreads.com/genres/art,2023-05-24 08:01:37.773727+00
2,Biography,https://www.goodreads.com/genres/biography,2023-05-24 08:01:37.773727+00
3,Business,https://www.goodreads.com/genres/business,2023-05-24 08:01:37.773727+00
4,Children's,https://www.goodreads.com/genres/children-s,2023-05-24 08:01:37.773727+00
5,Classics,https://www.goodreads.com/genres/classics,2023-05-24 08:01:37.773727+00
6,Comics,https://www.goodreads.com/genres/comics,2023-05-24 08:01:37.773727+00
7,Contemporary,https://www.goodreads.com/genres/contemporary,2023-05-24 08:01:37.773727+00
8,Crime,https://www.goodreads.com/genres/crime,2023-05-24 08:01:37.773727+00
9,Ebooks,https://www.goodreads.com/genres/ebooks,2023-05-24 08:01:37.773727+00
10,Fantasy,https://www.goodreads.com/genres/fantasy,2023-05-24 08:01:37.773727+00
11,Fiction,https://www.goodreads.com/genres/fiction,2023-05-24 08:01:37.773727+00
12,History,https://www.goodreads.com/genres/history,2023-05-24 08:01:37.773727+00
13,Horror,https://www.goodreads.com/genres/horror,2023-05-24 08:01:37.773727+00
14,Humor and Comedy,https://www.goodreads.com/genres/humor-and-comedy,2023-05-24 08:01:37.773727+00
15,Manga,https://www.goodreads.com/genres/manga,2023-05-24 08:01:37.773727+00
16,Memoir,https://www.goodreads.com/genres/memoir,2023-05-24 08:01:37.773727+00
17,Music,https://www.goodreads.com/genres/music,2023-05-24 08:01:37.773727+00
18,Mystery,https://www.goodreads.com/genres/mystery,2023-05-24 08:01:37.773727+00
19,Nonfiction,https://www.goodreads.com/genres/non-fiction,2023-05-24 08:01:37.773727+00
20,Paranormal,https://www.goodreads.com/genres/paranormal,2023-05-24 08:01:37.773727+00
21,Philosophy,https://www.goodreads.com/genres/philosophy,2023-05-24 08:01:37.773727+00
22,Poetry,https://www.goodreads.com/genres/poetry,2023-05-24 08:01:37.773727+00
23,Psychology,https://www.goodreads.com/genres/psychology,2023-05-24 08:01:37.773727+00
24,Religion,https://www.goodreads.com/genres/religion,2023-05-24 08:01:37.773727+00
25,Romance,https://www.goodreads.com/genres/romance,2023-05-24 08:01:37.773727+00
26,Science,https://www.goodreads.com/genres/science,2023-05-24 08:01:37.773727+00
27,Spirituality,https://www.goodreads.com/genres/spirituality,2023-05-24 08:01:37.773727+00
28,Sports,https://www.goodreads.com/genres/sports,2023-05-24 08:01:37.773727+00
29,Thriller,https://www.goodreads.com/genres/thriller,2023-05-24 08:01:37.773727+00
30,Travel,https://www.goodreads.com/genres/travel,2023-05-24 08:01:37.773727+00